"X","probA","probB","probC","payoffA","payoffB","payoffC","stimtype","exA","exB","exC","wingap","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20","stimid"
64,0.17,0.4,0.91,19,23,14,1,3.23,9.2,12.74,3.54,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,64
641,0.17,0.4,0.91,19,23,14,1,3.23,9.2,12.74,3.54,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,64
72,0.19,0.88,0.96,10,19,14,1,1.9,16.72,13.44,3.28,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,72
721,0.19,0.88,0.96,10,19,14,1,1.9,16.72,13.44,3.28,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,72
82,0.68,0.57,0.68,14,25,19,1,9.52,14.25,12.92,1.33,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,82
821,0.68,0.57,0.68,14,25,19,1,9.52,14.25,12.92,1.33,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,82
83,0.52,0.6,0.71,24,20,15,4,12.48,12,10.65,0.48,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,83
831,0.52,0.6,0.71,24,20,15,4,12.48,12,10.65,0.48,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,2,3,2,3,3,2,3,3,2,3,2,3,3,3,2,3,3,2,3,83
96,0.72,0.77,0.79,25,19,19,4,18,14.63,15.01,2.99,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96
961,0.72,0.77,0.79,25,19,19,4,18,14.63,15.01,2.99,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,1,3,96
98,0.76,0.76,0.97,30,12,20,4,22.8,9.12,19.4,3.4,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,98
981,0.76,0.76,0.97,30,12,20,4,22.8,9.12,19.4,3.4,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,98
102,0.85,0.26,0.6,24,26,29,2,20.4,6.76,17.4,3,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,102
1021,0.85,0.26,0.6,24,26,29,2,20.4,6.76,17.4,3,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,102
