modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,X,hilo,0.190000,0.880000,0.960000,10.000000,19.000000,14.000000,15.883982,999999,16.719999,745329,3.280000,0,745329,254670,0,68661.820312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,14,22,51,81,133,217,315,499,699,1063,1463,2067,2802,3740,5008,6543,8119,10540,13360,16563,19817,24120,28365,33074,38228,42943,47894,52920,56523,60367,63035,63919,63501,61309,57682,51573,44411,37137,28566,20963,14015,8547,4525,2129,851,223,43,9,1,0,43,7181,430421,1345307,217046,0
model1.1,X,hilo,0.680000,0.570000,0.680000,14.000000,25.000000,19.000000,13.890098,999961,14.250000,730879,1.335936,483,730879,268599,0,23019.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,81,463,3030,19953,104987,358010,470980,851651,1190110,610,0
model1.1,X,hilo,0.520000,0.600000,0.710000,24.000000,20.000000,15.000000,12.113827,1000000,12.480000,479397,0.705679,479397,433534,87069,0,92953.570312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,75,873,11290,117122,730356,1826051,314231,0,0
model1.1,X,hilo,0.720000,0.770000,0.790000,25.000000,19.000000,19.000000,17.165619,1000000,18.000000,723833,3.022251,723833,22930,253237,0,69155.218750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,130883,2170451,698482,0
model1.1,X,hilo,0.760000,0.760000,0.970000,30.000000,12.000000,20.000000,21.178406,999834,22.799999,522706,3.399998,522706,0,477128,0,42094.355469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,68,330,1832,9345,45419,175367,410294,326972,30176,28851,1970833,0
model1.1,X,hilo,0.850000,0.260000,0.600000,24.000000,26.000000,29.000000,19.092592,1000000,20.400002,564288,3.000000,564288,0,435712,0,79380.257812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,12,31,70,153,348,822,1803,4063,9390,19855,43233,84337,149115,221235,246830,166762,48657,3260,23,543064,1456925,0
model1.1,X,hilo,0.780000,0.800000,0.830000,26.000000,23.000000,12.000000,20.122355,1000000,20.279999,918293,1.879999,918293,81707,0,0,97198.117188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,94,856,6741,50255,259388,531639,150575,188053,1812386,0
model1.1,X,hilo,0.590000,0.900000,0.450000,12.000000,10.000000,23.000000,9.966608,999999,10.349999,734096,1.439190,12396,253507,734096,0,18865.365234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,19,40,104,279,680,1682,4295,10355,24642,55404,115284,211348,325975,449299,671027,846184,281699,1664,0,0
model1.1,X,hilo,0.990000,0.710000,0.940000,13.000000,25.000000,13.000000,17.259827,1000000,17.750000,899716,4.904677,95942,899716,4342,0,49334.628906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71,3493,136636,1375644,886191,597963,0
model1.1,X,hilo,0.340000,0.560000,0.650000,14.000000,27.000000,16.000000,15.076302,1000000,15.120000,993459,4.720000,0,993459,6541,0,52598.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,9,11,22,38,51,101,169,268,429,737,1128,1772,2939,4597,7106,11324,16964,25317,37010,52521,73000,95152,118430,135081,139905,123135,88072,46721,17279,22381,158133,543682,307704,960115,8687,0
