modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,X,hilo,0.190000,0.880000,0.960000,10.000000,19.000000,14.000000,14.542959,994092,16.719999,343705,3.326920,2597,343705,647790,0,51053.554688,0,72440,197851,111258,71710,51532,39935,32248,26850,22870,20125,18075,15970,14510,13142,12199,11548,10636,9892,9475,9091,8695,8469,8016,7648,7402,7315,7058,6739,6846,6641,6500,6409,6244,6286,6150,6257,6125,6202,6234,5964,6035,6067,6207,6213,6348,6453,6521,6824,6769,6987,7306,7346,7558,7814,8202,8526,8888,9283,9945,10612,11010,11870,12728,13958,15030,16672,18507,20548,23513,27247,31867,38349,47810,62144,86328,130257,234502,618484,502991
model1.1,X,hilo,0.680000,0.570000,0.680000,14.000000,25.000000,19.000000,12.754142,938303,14.250000,63189,1.603457,70337,63189,804777,0,7033.688965,0,45368,156465,93672,61448,44473,34298,27701,22875,19211,16618,15006,13286,12065,10977,10139,9488,8823,8033,7637,7246,7060,6652,6125,6102,5825,5744,5390,5417,5223,5369,5132,5059,4976,4960,4710,4707,4860,4765,4882,4757,4841,4839,4852,4976,5122,5147,5165,5400,5505,5657,5852,6206,6324,6369,6613,7102,7393,7858,8277,8839,9467,10087,10960,12113,13226,14499,16457,18582,21175,25267,29347,36005,45496,59942,84617,131029,242085,657233,522441
model1.1,X,hilo,0.520000,0.600000,0.710000,24.000000,20.000000,15.000000,11.560432,994405,12.480000,82864,1.003231,82864,558294,353247,0,39810.207031,0,49830,167075,100853,67199,49224,38282,31330,26064,22428,19597,17469,15472,14258,13117,12126,11566,10840,10054,9501,9013,8561,8241,7847,7636,7488,7153,7089,6677,6786,6568,6548,6349,6448,6211,6293,6175,6278,6157,6269,6235,6275,6355,6379,6453,6421,6562,6730,6956,7014,7045,7364,7788,7785,8091,8363,8844,9397,9515,9975,10742,11559,12224,13161,14368,15301,17150,19024,21184,24334,27787,33144,40255,49657,64677,89761,137067,247757,652098,506346
model1.1,X,hilo,0.720000,0.770000,0.790000,25.000000,19.000000,19.000000,15.185902,982819,18.000000,66771,3.021627,66771,74498,841550,0,16288.453125,0,29100,114293,74577,50832,37656,29666,24495,20340,17759,15437,13655,12424,11396,10551,9642,8991,8489,8062,7613,7186,6942,6556,6333,6034,5999,5847,5782,5420,5483,5307,5197,5167,5101,5094,5018,5098,5041,5053,5017,4931,5126,5140,5260,5122,5320,5446,5432,5470,5675,5858,6136,6462,6561,6783,7067,7299,7622,8145,8693,8897,9633,10478,11314,12267,13528,14966,16578,18875,21616,25247,29663,36159,46257,60393,85273,133660,250072,722671,679709
model1.1,X,hilo,0.760000,0.760000,0.970000,30.000000,12.000000,20.000000,19.764463,964665,22.799999,115121,3.452508,115121,4281,845263,0,10510.500977,0,31223,112295,70262,47060,35034,27271,22332,19029,15908,13967,12242,11166,10031,9225,8635,7986,7384,6980,6670,6174,5935,5851,5511,5425,5155,5024,5002,4882,4720,4546,4494,4428,4574,4431,4377,4376,4205,4156,4395,4287,4449,4362,4442,4591,4635,4655,4812,4926,4974,5071,5349,5614,5621,5909,6133,6554,6805,7077,7332,8036,8526,9200,10050,10842,12072,13323,14939,16725,19514,22665,26945,33037,41654,55561,78881,124175,237585,713201,757105
model1.1,X,hilo,0.850000,0.260000,0.600000,24.000000,26.000000,29.000000,17.489550,996375,20.400002,129990,3.355728,129990,28999,837386,0,57118.632812,0,42911,139883,84942,56744,41645,32995,26864,22283,19336,17086,15139,13612,12411,11355,10545,9801,9232,8670,8417,7795,7570,7177,6841,6795,6533,6325,6291,6127,6021,5810,5799,5806,5475,5458,5541,5395,5478,5603,5520,5471,5622,5728,5587,5704,5844,5913,5869,6007,6350,6413,6608,6784,7057,7242,7626,7865,8262,8514,9040,9652,10273,11268,11756,12669,14177,15274,17087,19222,22026,25453,30287,36516,46149,60145,83954,129544,241224,689906,661806
model1.1,X,hilo,0.780000,0.800000,0.830000,26.000000,23.000000,12.000000,16.292379,996784,20.279999,87386,4.370879,87386,640921,268477,0,54444.386719,0,32464,118414,75256,51521,38207,29827,24501,20882,18070,15760,13999,12659,11734,10763,9838,9414,8911,8281,7936,7500,7087,7010,6730,6402,6196,6069,5905,5854,5718,5721,5588,5497,5289,5381,5281,5200,5263,5301,5215,5328,5342,5433,5480,5512,5566,5670,5802,5857,6156,6082,6318,6654,6839,6940,7399,7678,7909,8373,8880,9545,10219,10787,11821,12687,13888,15099,16678,19174,22188,24997,29899,36238,45803,59950,84008,130280,245661,716604,708964
model1.1,X,hilo,0.590000,0.900000,0.450000,12.000000,10.000000,23.000000,8.118902,993046,10.349999,84485,2.438632,515150,393411,84485,0,31268.437500,0,70749,212579,121176,79114,57675,44044,35773,29764,25160,22145,19562,17587,15962,14626,13423,12529,11636,10966,10436,9812,9385,9092,8577,8304,8053,7995,7608,7425,7359,7198,7156,6826,6827,6627,6644,6656,6687,6596,6610,6564,6717,6784,6691,6949,7130,7057,7206,7214,7478,7681,7777,7968,8277,8528,8903,9202,9458,10091,10714,11437,12116,12856,13683,14644,16173,17666,19428,22254,25208,28943,33897,40846,50611,65355,89559,135099,238449,591541,404641
model1.1,X,hilo,0.990000,0.710000,0.940000,13.000000,25.000000,13.000000,13.156898,979975,17.750000,67173,4.934920,839205,67173,73597,0,14346.157227,0,36675,133969,84151,56835,42031,32410,26463,22353,19373,16786,14850,13498,12200,11173,10409,9663,9077,8510,8012,7555,7248,7018,6895,6442,6257,6189,5893,5766,5788,5659,5566,5419,5450,5278,5423,5348,5319,5346,5349,5405,5261,5322,5376,5308,5579,5748,5722,5857,5923,6188,6334,6560,6790,7085,7383,7681,8063,8487,8825,9393,10108,10958,11773,12615,13950,15467,17347,19659,22237,25935,30226,37298,47219,61894,87102,133559,248400,694988,613254
model1.1,X,hilo,0.340000,0.560000,0.650000,14.000000,27.000000,16.000000,12.032470,993084,15.120000,347021,4.745176,3177,347021,642886,0,44258.328125,0,67181,198409,113609,73903,53916,41745,33652,27940,24037,20821,18394,16516,15024,13687,12859,11868,11075,10480,9905,9263,9080,8435,8233,7827,7855,7402,7264,7224,7048,6767,6684,6665,6441,6394,6289,6489,6524,6424,6450,6364,6375,6395,6480,6444,6771,6665,6905,7066,7018,7221,7561,7699,7974,8210,8409,8862,9247,9726,10301,10737,11458,12359,13392,14452,15525,17147,19106,21146,24641,27763,32665,39810,49445,63960,87704,132566,239029,612953,461922
