"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.49,0.52,0.76,30,30,26,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,25.1641135604191,1.47661111644573,40.4991769498428,"<","<","<","=",">",">"
0.53,0.63,0.0059,25,22,27,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,11.7602234954941,13.4197250347137,-0.415441638580633,">",">",">",">","<","<"
0.53,0.63,0.0059,25,22,27,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,0.215968979669581,7.32089400965352,17.7088721507682,"<",">",">",">","<","<"
0.94,0.8,0.89,18,29,22,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,16.2354891902947,23.5910215578985,21.099784365974,">","<","<","<","<",">"
0.94,0.8,0.89,18,29,22,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,27.892141782902,20.747405071373,3.11728158099223,">",">","<","<","<",">"
0.12,0.4,0.99,22,30,16,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,2.73185494573826,11.578183605554,16.1427598995872,"<","<","<","<",">","="
0.12,0.4,0.99,22,30,16,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,27.4417906515076,16.8106356112335,13.3612307510676,"<","<",">","<","=",">"
0.034,0.71,0.86,21,28,20,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,1.27759156781307,20.4097201247275,17.5476503648171,"<","<","<","<","=",">"
0.034,0.71,0.86,21,28,20,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,20.3507826635753,21.3490797024808,15.5990502410729,"<","<","<","<","=",">"
0.34,0.38,0.79,26,12,12,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,7.69316642127291,4.45674084019755,9.7024287465989,"<","<","<",">",">","="
0.34,0.38,0.79,26,12,12,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,39.3505628881972,-2.31769683741232,-9.53816120820443,"<","<","=",">",">","="
0.46,0.51,0.52,28,16,14,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,12.2403041552139,7.7029572024213,6.64222600056145,"<","<","<",">",">",">"
