"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20"
0.47,0.43,0.75,12,15,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.47,0.43,0.75,12,15,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
0.12,0.086,0.74,27,14,24,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.12,0.086,0.74,27,14,24,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,1,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3
0.62,0.68,0.047,24,17,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1
0.62,0.68,0.047,24,17,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1
0.2,0.98,0.81,17,13,16,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,2,2,3,2,2,2,2,2,3,3,3,3,2,3,2,2,3,3
0.2,0.98,0.81,17,13,16,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,2,3,2,2,2,3,3,3,3,3,2,3,1,3,3,3,3,2
0.26,0.49,0.38,19,14,15,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
0.26,0.49,0.38,19,14,15,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
0.36,0.96,0.19,19,13,30,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
0.36,0.96,0.19,19,13,30,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,1,2,3,1,1,1,1,3,2,2,1,2,2,2,1,2,2,1
0.26,0.12,0.38,21,30,19,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,1,1,3,1,1,3,3,1,2,1,3,3,1,3,3,3,1,3
0.26,0.12,0.38,21,30,19,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,3,1,3,1,3,3,1,3,1,3,1,3,1,1,3,3,3,3,1
0.57,0.45,0.21,21,13,23,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
