"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"102","1",39,0.0048,0.53,0.38,24,23,29,"B",0.4,TRUE
"103","1",40,0.59,0.53,0.4,11,23,27,"B",0.4,TRUE
"104","1",41,0.23,0.26,0.25,27,12,27,"B",0.3,TRUE
"105","1",42,0.69,0.17,0.25,17,26,23,"B",0.15,TRUE
"106","1",43,0.37,0.26,0.25,11,17,19,"B",0.45,TRUE
"107","1",46,0.46,0.24,0.26,16,25,24,"B",0,TRUE
"108","1",50,0.7,0.84,0.02,29,18,17,"B",0.35,TRUE
"109","0",1,0.94,0.18,0.089,19,22,20,"C",0,TRUE
"110","0",4,0.96,0.99,0.43,29,22,12,"C",0,TRUE
"111","0",6,0.86,0.16,0.36,13,18,19,"C",0.15,TRUE
"112","0",10,0.62,0.76,0.26,19,13,10,"C",0,TRUE
"113","0",11,0.65,0.76,0.07,22,13,28,"C",0,TRUE
"114","0",13,0.74,0.85,0.12,26,13,11,"C",0,TRUE
"115","0",14,0.09,0.8,0.12,15,11,16,"C",0.05,TRUE
"116","0",17,0.7,0.49,0.92,28,15,16,"C",0.2,TRUE
"117","0",19,0.7,0.51,0.9,30,17,21,"C",0.2,TRUE
"118","0",20,0.099,0.78,0.9,13,14,12,"C",0.65,TRUE
"119","0",21,0.8,0.89,0.9,27,12,13,"C",0.05,TRUE
"120","0",23,0.5,0.61,0.19,27,20,20,"C",0,TRUE
"121","0",27,0.89,0.54,0.27,15,18,14,"C",0,TRUE
"122","0",28,0.32,0.46,0.6,23,17,14,"C",0.4,TRUE
"123","0",30,0.33,0.0086,0.79,17,17,13,"C",0.9,TRUE
"124","0",32,0.94,0.29,0.076,22,28,27,"C",0,TRUE
"125","0",33,0.7,0.86,0.61,21,14,25,"C",0.55,TRUE
"126","0",34,0.94,0.28,0.17,13,23,25,"C",0,TRUE
"127","0",36,0.42,0.56,0.4,27,23,30,"C",0.4,TRUE
"128","0",38,0.37,0.7,0.4,24,17,23,"C",0.35,TRUE
"129","0",39,0.0048,0.53,0.38,24,23,29,"C",0.35,TRUE
"130","0",40,0.59,0.53,0.4,11,23,27,"C",0.05,TRUE
"131","0",41,0.23,0.26,0.25,27,12,27,"C",0.7,TRUE
"132","0",42,0.69,0.17,0.25,17,26,23,"C",0.1,TRUE
"133","0",43,0.37,0.26,0.25,11,17,19,"C",0.3,TRUE
