"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20"
0.29,0.63,0.69,28,20,14,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,2,3,3,3,2,2,2,2,2,2,3,3,2,1,2,2,3,2
0.23,0.78,0.45,16,20,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.23,0.78,0.45,16,20,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,3,2,2,2,2,3,2,3,2,3,2,2,2,3,2,2,3
0.52,0.48,0.78,28,17,14,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
0.52,0.48,0.78,28,17,14,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,2,1,1,1,1,1,2,1,3,1,1,1,1,1,1,3,1,1
0.36,0.39,0.19,26,16,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1
0.36,0.39,0.19,26,16,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2
0.07,0.73,0.00096,27,11,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.07,0.73,0.00096,27,11,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,1,2,2,2,1,3,2,2,1,1,2,2,1,2,2,2,2,1
0.13,0.73,0.78,27,26,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.13,0.73,0.78,27,26,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2
0.36,0.73,0.28,26,28,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.36,0.73,0.28,26,28,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.31,0.7,0.76,28,29,29,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3
0.31,0.7,0.76,28,29,29,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3
0.2,0.89,0.96,13,28,19,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
0.2,0.89,0.96,13,28,19,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,2,2,2,3,3,2,2,2,3,3,3,2,2,3,2,2,2,3
1,0.89,0.84,28,28,13,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.89,0.84,28,28,13,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
0.83,0.042,0.12,14,28,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.83,0.042,0.12,14,28,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,1,3,1,1,1,1,3,1,3,1,1,1,1,1,1,1,3,1,3
0.89,0.82,0.21,15,27,29,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.89,0.82,0.21,15,27,29,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,2,2,1,2,2,1,2,2,1,1,2,2,1,2,2,1,2,2
0.32,0.82,0.24,19,14,22,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,2,2,3,2,2,1,2,3,2,1,2,2,2,1,2,2,3,2
0.32,0.82,0.24,19,14,22,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,2,2,2,1,2,2,3,2,3,2,2,1,1,1,1,3,1,2,2
