"ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","calcA","calcB","calcC","ordprobAB","ordprobAC","ordprobBC","ordpayoffAB","ordpayoffAC","ordpayoffBC","estA","estB","estC","choice"
1,19,0.83,0.67,0.45,12,15,20,2.95934392215311,9.69364076353685,16.0420650314196,3,3,3,1,1,1,3.45651012871258,9.6942047725956,16.5992744768971,"3"
1,20,0.67,0.4,0.45,15,25,20,7.43358506276454,16.0226460086626,15.9944069849133,3,3,1,1,1,3,6.80075726532347,16.8053887785673,15.9343225618205,"2"
2,1,0.5,0.4,0.62,20,25,13,11.8328409193488,9.23918264306674,7.02202636277378,3,1,1,1,3,3,11.854413650342,9.18585870503173,7.09148875916302,"1"
2,2,0.5,0.67,0.78,20,15,10,6.23276970893266,11.4355380828846,8.03012000841228,1,1,1,3,3,3,6.39553006543693,11.2772110905799,7.99130340124708,"2"
2,3,0.67,0.83,0.3,15,12,30,8.01731760122396,4.16454777820522,5.96092502032018,1,3,3,3,1,1,8.08216709862486,4.58733351369026,5.87746945156379,"1"
2,4,0.5,0.83,0.25,20,12,30,5.21155661419659,10.2559039018947,8.37942193560437,1,3,3,3,1,1,5.45446028706547,10.1727089953572,8.24017482054053,"2"
2,5,0.5,0.67,0.3,20,15,30,9.41815282075871,9.18410443763022,4.59982955241447,1,3,3,3,1,1,9.48539317033907,9.10228953690586,4.90790040404414,"1"
2,6,0.5,0.83,0.25,20,12,33,8.93032323137841,11.7872384574023,6.08091352495882,1,3,3,3,1,1,9.0692801651462,11.7847255213287,6.18693969567454,"2"
2,7,0.83,0.5,0.78,12,20,12,11.4375735773925,7.84914520482637,6.00965128659534,3,3,1,1,2,3,11.5107662893752,7.84459851163482,6.08000702085081,"1"
2,8,0.83,0.4,0.45,12,25,18,11.085975311511,8.4044686175108,10.2543921117338,3,3,1,1,1,3,11.1576497405462,8.42577430475208,10.1210995793289,"1"
2,9,0.4,0.3,0.45,25,33,18,10.970944165884,0.295064168740653,4.95926706172498,3,1,1,1,3,3,10.8820590101307,2.33558323703074,5.11496312111795,"1"
2,10,0.4,0.5,0.83,25,20,10,8.20109148428364,13.2561192719589,6.98702187883537,1,1,1,3,3,3,8.2845473828071,13.1235806592044,7.07457995573778,"2"
2,11,0.83,0.3,0.45,12,33,18,12.9860400107353,6.66878682357062,7.80302659679207,3,3,1,1,1,3,13.0438821337361,6.73548007625982,7.79678366965774,"1"
2,12,0.83,0.5,0.35,12,20,20,9.96214527961103,6.6551625853782,10.923218143419,3,3,3,1,1,2,10.0677823369379,6.79182661678227,10.7494069117413,"3"
2,13,0.4,0.5,0.45,25,20,18,9.94168395385764,9.19831736920718,11.6094924486105,1,1,3,3,3,3,9.98600577816602,9.28024566421167,11.5314372950771,"3"
2,14,0.83,0.67,0.62,12,15,15,7.49129047619679,12.7174006513325,8.61686505462782,3,3,3,1,1,2,7.60917352378145,12.6247034340134,8.59650108633591,"2"
2,15,0.3,0.83,0.45,33,12,18,13.6623397244041,10.9492648259691,8.20846830685208,1,1,3,3,3,1,13.5435717761151,11.011778499136,8.1437807738179,"1"
2,16,0.67,0.5,0.5,15,20,18,9.94707992711741,12.8140877090269,5.30096484107612,3,3,2,1,1,3,10.0474226762711,12.5166945333139,5.65184602766564,"2"
2,17,0.83,0.67,0.25,12,15,33,6.62375111553663,4.60736628337656,12.1717449845004,3,3,3,1,1,1,6.84891374746856,4.95362257606814,11.9726511780253,"3"
2,18,0.67,0.3,0.3,15,33,30,8.88928383352734,8.92211156029309,2.9589843075237,3,3,2,1,1,1,8.94523617902207,8.71577755422888,3.76677529254631,"1"
2,19,0.83,0.67,0.45,12,15,20,9.19129630266126,10.5930096473979,11.2109323680316,3,3,3,1,1,1,9.41174293172271,10.5826747363128,11.0874148250456,"3"
2,20,0.67,0.4,0.45,15,25,20,9.42246471031983,9.54256870426732,2.24349218921602,3,3,1,1,1,3,9.41835190258816,9.50437897156676,3.23376989678517,"2"
