"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.4,0.41,0.96,30,27,24,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,12.978852560301,11.1269646190712,21.2665421860373,"=","<","<",">",">",">"
0.4,0.41,0.96,30,27,24,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,39.1657124511371,0.124044065416271,7.70845992487465,"=","<","<",">",">",">"
0.69,0.17,0.25,12,29,19,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,9.04797094982591,5.05933003711237,6.40505242416671,">",">","<","<","<",">"
0.69,0.17,0.25,12,29,19,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,-23.4161388272221,70.6294082577663,-0.970856720433156,">",">","<","<","=","<"
0.85,0.06,0.32,22,24,26,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,18.7712208520157,0.526653834204199,8.88648618026589,">",">","<","<","<","<"
0.85,0.06,0.32,22,24,26,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,-5.93448253927344,-10.2998577930324,1.41281609021561,">",">","<","<","<","<"
0.9,0.96,0.32,27,15,30,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,24.4562107654898,14.5792630255401,10.4519600302523,"<",">",">",">",">","<"
0.9,0.96,0.32,27,15,30,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,35.8612237927825,28.3492891830088,19.5017063093817,">","<",">",">","<","<"
0.74,0.028,0.21,12,19,27,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,8.48836843092327,0.57775212274699,5.2065101622217,">","<","<","<","<","<"
0.74,0.028,0.21,12,19,27,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,21.8219804478022,9.98126686465284,19.1717422275026,">",">","<","<","<","<"
0.74,0.27,0.45,12,27,15,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,9.79992519696928,6.98868495992184,6.51310938826037,">",">","<","<","<",">"
0.74,0.27,0.45,12,27,15,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,12.4205241889445,12.836465233128,0.700509389864852,">",">","<","<","<",">"
0.78,0.7,0.14,19,30,15,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,14.6428850027259,19.589653650043,1.5076093375711,">",">",">","<",">",">"
0.78,0.7,0.14,19,30,15,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,-23.4604776121898,54.0430388655387,-12.121047772706,">",">",">","<",">",">"
0.17,0.4,0.89,28,30,25,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,5.72982045746898,12.1174898323848,23.4027905933838,"<","<","<","<",">",">"
0.17,0.4,0.89,28,30,25,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,20.3752346941043,-30.0597769592571,20.2205342611893,"<","<","<","<",">",">"
0.77,0.33,0.015,13,22,22,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,9.28699259373212,8.58268583204197,0.855566002170641,">",">",">","<","<","="
0.77,0.33,0.015,13,22,22,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,59.4319374199619,-4.80698596154493,6.18095596767818,">",">",">","<","<","="
0.89,0.87,0.044,14,25,14,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,12.5890696066422,22.2423649338552,1.52359767446293,"=",">",">","<","=",">"
0.89,0.87,0.044,14,25,14,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,41.7525303718879,26.7530284324181,-12.2922872720782,">",">",">","<","=",">"
0.91,0.87,0.044,14,24,29,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,12.1267088567411,21.548756486074,2.06682264107541,">",">",">","<","<","<"
0.91,0.87,0.044,14,24,29,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,-12.436070032196,-11.7873856033457,-13.3549148240423,">",">",">","<","<","<"
0.0056,0.71,0.14,28,25,28,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,-1.35913648278421,18.5924417500107,2.45143682769173,"<","<",">",">",">","<"
0.0056,0.71,0.14,28,25,28,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,5.02058950673469,26.6015418671532,11.5574498671405,"<","<",">","<","=","<"
0.12,0.26,0.9,24,25,17,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,3.58968176594741,6.00853812496391,13.7247407496003,"<","<","<","=",">",">"
0.12,0.26,0.9,24,25,17,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,-21.7648049408636,-4.0519468064194,-5.97855508849583,"<","<","<","=",">",">"
0.97,0.75,0.079,16,26,29,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,13.8846758660409,21.0031600197509,2.86938354484227,">",">",">","<","<","<"
0.97,0.75,0.079,16,26,29,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,21.8342531713249,16.5494942287206,11.5418318761929,">",">",">","<","<","<"
0.5,0.56,0.88,11,26,13,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,6.30337911192127,15.4675760041992,12.3769193040026,"<","<","<",">","<",">"
0.5,0.56,0.88,11,26,13,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,18.0732961431143,11.0933300757867,-33.7324086818488,"<","<","<","<","<",">"
0.19,0.086,0.89,27,21,11,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,5.00425477015106,1.64293909783081,9.29606219116299,">","<","<",">",">",">"
0.19,0.086,0.89,27,21,11,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,-0.992087847662295,8.82742383758019,-13.4133624067737,">","<","<","=",">",">"
0.62,0.68,0.047,24,17,11,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,16.8972006450599,9.98775573250643,0.961182425911054,"<",">",">",">",">",">"
0.62,0.68,0.047,24,17,11,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,20.5366405998922,-0.855077611174027,-0.380920434490643,"<",">",">",">",">","="
0.36,0.96,0.19,19,13,30,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,6.35942519090301,9.85649804822802,5.62058963269193,"<",">",">","<","<","<"
0.36,0.96,0.19,19,13,30,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,-21.0542750808458,-14.0315603063114,15.3403007517781,"<",">",">",">","<","<"
0.078,0.5,0.028,23,19,21,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,0.783602849407551,9.11877455333665,0.101901239167636,"<",">",">","=",">",">"
0.078,0.5,0.028,23,19,21,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,32.3467443291604,-33.0722311609713,-16.6238000249031,"<","<",">",">",">","<"
0.025,0.86,0.33,22,17,27,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,-0.242985835265892,15.6509853753272,8.19194232153914,"<","<",">",">","=","<"
0.025,0.86,0.33,22,17,27,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,57.8634282015895,10.4591081250994,14.41753404015,"<","<",">",">","<","<"
0.93,0.17,0.29,20,27,30,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,18.2831777963281,4.54311742288838,8.45037025115054,">",">","<","<","<","<"
0.93,0.17,0.29,20,27,30,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,30.2689828337775,16.0454384857165,1.38716157123134,">","<","<","<","<","<"
0.32,0.69,0.076,16,12,16,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,4.46593311569661,9.02199604362453,0.813054096841902,"<",">",">",">","=","<"
0.32,0.69,0.076,16,12,16,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,34.0957867976681,-11.007316583456,-4.32587374568253,"<",">",">","<","=","<"
0.32,0.97,0.36,18,14,22,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,6.00904605559989,12.4789656359865,9.76168598539606,"<","<",">",">","<","<"
0.32,0.97,0.36,18,14,22,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,-0.491804892487294,16.0071699595869,16.0503780655202,"<","<",">","<","<","<"
0.089,0.17,0.87,25,25,17,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,2.22712316615296,2.19050266964254,14.0190634053763,"<","<","<","=",">","<"
0.089,0.17,0.87,25,25,17,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,31.2840764748136,52.9725814928659,-7.7757763658946,"<","<","<","=",">","<"
